DATE,fcon
2015-01-31,0.3273019201228879
2015-02-28,0.3630921343537415
2015-03-31,0.34634168586789554
2015-04-30,0.2671859325396825
2015-05-31,0.21038024193548385
2015-06-30,0.20001934523809523
2015-07-31,0.1702582565284178
2015-08-31,0.16516336405529952
2015-09-30,0.1767988293650794
2015-10-31,0.2004491743471582
2015-11-30,0.24768220238095237
2015-12-31,0.2923111943164362
2016-01-31,0.3369191244239632
2016-02-29,0.37257288587848925
2016-03-31,0.37811378648233485
2016-04-30,0.280610496031746
2016-05-31,0.19298166282642087
2016-06-30,0.1826228769841269
2016-07-31,0.16076361367127498
2016-08-31,0.1546121543778802
2016-09-30,0.16768964285714283
2016-10-31,0.19610245775729646
2016-11-30,0.23775315476190476
2016-12-31,0.2769785906298003
2017-01-31,0.33293993855606746
2017-02-28,0.37007402210884344
2017-03-31,0.39241056067588337
2017-04-30,0.29407861111111105
2017-05-31,0.2257054339477727
2017-06-30,0.22509797619047622
2017-07-31,0.1907061635944701
2017-08-31,0.18058836405529952
2017-09-30,0.192960873015873
2017-10-31,0.2247214477726574
2017-11-30,0.2764300992063492
2017-12-31,0.33428483102918577
2018-01-31,0.39199717741935486
2018-02-28,0.42977272534013605
2018-03-31,0.41148613671274964
2018-04-30,0.28900595238095234
2018-05-31,0.21441079109062983
2018-06-30,0.20710378968253973
2018-07-31,0.18074147465437787
2018-08-31,0.17468104838709678
2018-09-30,0.1867418055555556
2018-10-31,0.21543358294930873
2018-11-30,0.2633842261904762
2018-12-31,0.309885925499232
2019-01-31,0.37079329877112144
2019-02-28,0.409395450680272
2019-03-31,0.3759843509984639
2019-04-30,0.2739840277777778
2019-05-31,0.20235572196620585
2019-06-30,0.23374878968253968
2019-07-31,0.2104394777265746
2019-08-31,0.18529644777265747
2019-09-30,0.20387478174603177
2019-10-31,0.2454206797235023
2019-11-30,0.3062267261904762
2019-12-31,0.35748625192012284
2020-01-31,0.408562019969278
2020-02-29,0.44596816502463044
2020-03-31,0.4121758256528418
2020-04-30,0.30446678571428565
2020-05-31,0.22232290706605215
2020-06-30,0.21470732142857138
