DATE,fcon
2015-01-31,0.30517010306814185
2015-02-28,0.3367086490351351
2015-03-31,0.32765519216915406
2015-04-30,0.26110169940330336
2015-05-31,0.20711124065042127
2015-06-30,0.1962895481193147
2015-07-31,0.1668782581552875
2015-08-31,0.16085867815720942
2015-09-30,0.17324686808913867
2015-10-31,0.19883172259434126
2015-11-30,0.24163852965918603
2015-12-31,0.2775396978342636
2016-01-31,0.3123849891387419
2016-02-29,0.3449354506026202
2016-03-31,0.3526329107182399
2016-04-30,0.2762334366717171
2016-05-31,0.1925744649612933
2016-06-30,0.17984343110618237
2016-07-31,0.1569044217737029
2016-08-31,0.149835323160538
2016-09-30,0.1640931121143
2016-10-31,0.19335601961612003
2016-11-30,0.23103184359511766
2016-12-31,0.26365283226588304
2017-01-31,0.30660237499381854
2017-02-28,0.3373870833063361
2017-03-31,0.3573584001359976
2017-04-30,0.28112112393581
2017-05-31,0.2174084768715369
2017-06-30,0.22140993453396407
2017-07-31,0.1931918541155207
2017-08-31,0.18140031269192045
2017-09-30,0.19425628026740283
2017-10-31,0.2253730893057906
2017-11-30,0.2707877053872315
2017-12-31,0.31774352209642126
2018-01-31,0.3628784175636422
2018-02-28,0.39705387146148124
2018-03-31,0.3879107451387185
2018-04-30,0.28297174618436977
2018-05-31,0.2130189692443448
2018-06-30,0.20621120973331578
2018-07-31,0.18010299667528498
2018-08-31,0.1730274064534817
2018-09-30,0.18576727713473268
2018-10-31,0.21619811917854628
2018-11-30,0.2629614628662249
2018-12-31,0.3026813321150245
2019-01-31,0.3498965533782357
2019-02-28,0.38241536906314016
2019-03-31,0.35775189368164184
2019-04-30,0.2708299604579845
2019-05-31,0.20238214354127776
2019-06-30,0.23218363035378323
2019-07-31,0.2113694270241673
2019-08-31,0.18609250776914585
2019-09-30,0.20414450879296694
2019-10-31,0.24359556133779
2019-11-30,0.3005905151909681
2019-12-31,0.3435075802012595
2020-01-31,0.38484845226872844
2020-02-29,0.41692572773588643
2020-03-31,0.3891518930741597
2020-04-30,0.2979577512631126
2020-05-31,0.2193050934495143
2020-06-30,0.21243306522572647
2020-07-31,0.18215920305029001
2020-08-31,0.17232259194546293
2020-09-30,0.1880205117727098
2020-10-31,0.2193322761642652
2020-11-30,0.2642364457459615
2020-12-31,0.305247994614261
2021-01-31,0.35040941623379107
2021-02-28,0.37466915260316697
2021-03-31,0.3543168574142174
2021-04-30,0.26148746453797467
2021-05-31,0.19963278795600542
2021-06-30,0.19731378960018472
2021-07-31,0.17363414974339186
2021-08-31,0.16791301577977977
2021-09-30,0.16977908841662032
2021-10-31,0.19999702583638718
2021-11-30,0.24073955848977527
2021-12-31,0.2788144432596473
2022-01-31,0.3173246621052709
2022-02-28,0.34920077177041675
2022-03-31,0.3428026090768688
2022-04-30,0.2714212790608062
2022-05-31,0.2098550287259611
2022-06-30,0.21435880091329293
2022-07-31,0.182000683204875
2022-08-31,0.17238315439464114
2022-09-30,0.1901552981687824
2022-10-31,0.21825108548448274
